Name	Order	Line	Rel	 Part	Desc	Order Date	OrderQty	Job Num	Start Date	"MFG
Complete"	ShipBy	Max Op	Op Desc	ActiveOp	Op Desc	Last Labor Date	Op Start Date	"Open 
Value"	Credit Hold	Credit OvRd	Order Held
Services For Plastics, Inc.	9428186	1	1	9371223-1-SF	DRAWER FILTER, 8" W/ PURGE HOPPER, STD TEMP UP TO 180°F	5/6/25	1	9428186-1-1		5/19/25	5/23/25	50	Shipping - Light			5/20/25		1208.80			
Services For Plastics, Inc.	9428186	2	1	9371223-2-SF	DRAWER FILTER, 6" W/ PURGE HOPPER, STD TEMP UP TO 180°F	5/6/25	1	9428186-2-1	5/19/25	5/22/25	5/23/25	30	Form -Part Per Print (Trumpf)	40	FF Production Work Cell	5/20/25	5/21/25	947.20			
Elizabeth Food	9428649	1	2	PIM-4-NE-F	PNEUMATIC INLINE MAGNET  W/ 4" OD ENDS  *FOOD GRADE*	5/19/25	1	9428649-1-2	5/22/25	5/22/25	5/23/25	10	Issue -Components	20	Gaskets - Cut / Assemble	5/21/25		6753.00	X	X	
BRC Rubber & Plastics Inc / Molded Divsion	9428680	1	1	BE1050-72000	BELT 7.625" E8/2 UO/U4 GSTR SLPC	5/20/25	1	9428680-1-1	5/21/25	5/22/25	5/23/25			10	Belt - Cut / Assemble			449.00	X	X	
BRC Rubber & Plastics Inc / Molded Divsion	9428680	2	1	BE1050-96000	BELT 7.625" E8/2 UO/U4 GSTR	5/20/25	1	9428680-2-1	5/22/25	5/22/25	5/23/25			10	Belt - Cut / Assemble			562.00	X	X	
Shick Esteve	9424730	1	1	9424730-1	PIM-4-NE-F-PROX with 4" Sch 10 ends and white gasket	1/27/25	7	9424730-1-1	5/16/25	5/25/25	5/26/25	70	Gaskets - Cut / Assemble	40	Tig Weld - Part Per Print	5/21/25		36355.20			
Satake U.S.A. Inc.	9426220	1	1	HFS-2010-NPB-F	HF Drawer	3/7/25	5	9426220-1-1	5/14/25	5/25/25	5/26/25	30	Form -Part Per Print (Trumpf)	40	Tig Weld - Part Per Print	5/14/25	5/21/25	13859.25			
Bunge Corp.	9427315	1	1	9427315-1	HST-430-PSC  - NO PLATE MAGNETS	4/9/25	1	9427315-1-1	5/14/25	5/20/25	5/26/25	40	Deburr -Part 2	50	Bead Blast -Part	5/21/25		17556.00	X	X	
Erat S.A. De C.V.	9428671	1	1	FF6-SF	DRAWER FILTER, 6 X 6 W/SLIDEGATE	5/20/25	1	9428671-1-1	5/23/25	5/26/25	5/26/25	10	Issue -Components	20	FF Production Work Cell	5/21/25		486.00			
IPEG - International Plastics Equipment Group	9423373	1	1	9423373-1	FF6-SF	12/9/24	2	9423373-1-1	5/21/25	5/26/25	5/27/25	30	Saw Cut - Part To Length	40	FF Production Work Cell	5/13/25	5/21/25	1679.60			
Weima America Inc.	9426559	1	1	9426559-1	GFC 24-235	3/18/25	1	9426559-1-1	5/9/25	5/26/25	5/27/25	60	Form -Part Per Print (Trumpf)	50	Tap -Part Per Print	5/21/25		20166.25	X	X	
Lastique International Corp.	9426852	1	1	9426852-1	HFS-2012-PSC-NHI  CUSTOM	3/26/25	6	9426852-1-1	5/1/25	5/26/25	5/27/25	120	Assemble -Per Print (Heavy)	10	Laser Cut - Part Per Print	5/8/25	5/1/25	107064.00	X	X	
Pacific Choice Brands, LLC	9427585	1	1	9427585-1	LID-C-3 CARTRIDGE LID ASSY   PASSIVATED	4/16/25	1	9427585-1-1	5/14/25	5/26/25	5/27/25	140	Inspect -Inprocess	143	OP -Pickle and Passivate	5/15/25		5047.00			
Global Plastics Equipment & Services LLC	9427594	1	2	9427594-1	6" DRAWER ASSY, HI TEMP INSERT	4/16/25	1	9427594-1-2	5/20/25	5/26/25	5/27/25	30	Form -Part Per Print (Trumpf)	40	FF Production Work Cell	5/20/25	5/21/25	863.40	X	X	
Processing Technologies	9428071	2	1	9423662-1	FF10 DRW FILTER  CUSTOM	5/1/25	1	9428071-2-1	5/15/25	5/26/25	5/27/25	70	Assemble -Per Print (Heavy)	30	Form -Part Per Print (Trumpf)	5/19/25		1751.00			
Processing Technologies	9428071	3	1	9428071-3	FF8  DRWR FILTER  CUSTOM	5/1/25	1	9428071-3-1	5/12/25	5/20/25	5/27/25	30	Mag Cut -Part To Length (Pc)	10	Issue -Components	5/13/25	5/12/25	976.65			
Lastique International Corp.	9428183	1	1	ASM-36	MAGNETIC PROBE 36" OAL  NPB	5/6/25	1	9428183-1-1	5/19/25	5/26/25	5/27/25	60	Deburr -Part 2	70	Bead Blast -Part	5/21/25		551.00	X	X	
Husky Injection Molding Systems - Jeffersonville	9428420	1	1	9423523-1	FF6-SF	5/13/25	2	9428420-1-1	5/21/25	5/26/25	5/27/25	30	Turn -Casting Per Print (25)	40	FF Production Work Cell	5/21/25	5/21/25	1833.40			
Ardent Mills LLC	9428430	1	1	21-00137-1	SLEEVE WELDMENT	5/13/25	1			5/26/25	5/27/25							334.00	X	X	
Interflex, LLC	9426172	1	1	638795-1	C.FCIF33-32.000X032.250-.035	3/6/25	1	9426172-1-1	5/26/25	5/25/25	5/28/25	130	Package -And Wrap	140	Shipping - Medium	5/20/25		10446.50			
Interflex, LLC	9426172	2	1	638795-2	C.FCIF34-32.000X032.250-.035	3/6/25	1	9426172-2-1	5/23/25	5/27/25	5/28/25	110	Inspect -Final	120	Package -And Wrap	5/21/25	5/21/25	10636.90			
Symrise/IDF / International Dehydrated Foods Inc	9427598	1	1	9310086-1-1	HFS 3010-NPB-F (w/o Magnets) Housing ONLY	4/16/25	1	9427598-1-1	5/19/25	5/26/25	5/28/25	10	Laser Cut - Part Per Print	20	Form -Part Per Print (Trumpf)	5/21/25		3750.00	X	X	
Bruning Federle	9427855	1	1	9427855-1	Plate Magnet	4/24/25	1	9427855-1-1	5/19/25	5/27/25	5/28/25	60	Assembly-Magnetize/Assemble	40	Form -Part Per Print (Trumpf)	5/15/25		1414.40	X	X	
IPEG - International Plastics Equipment Group	9427938	1	1	9422368-1	FF10-SF	4/28/25	1	9427938-1-1	5/23/25	5/27/25	5/28/25	80	Assemble -Per Print (Heavy)	90	Gaskets - Cut / Assemble	5/22/25		1761.20			
IPEG - International Plastics Equipment Group	9427938	2	1	9344039-1-SF	FF8-SF	4/28/25	3	9427938-2-1	5/28/25	5/27/25	5/28/25	40	FF Production Work Cell	50	Shipping - Light	5/21/25		2927.40			
SA Recycling	9428010	1	1	178-66377	Hand Wheel w/KW&SS	4/30/25	1	9428010-1-1	5/22/25	5/27/25	5/28/25			10	Turn -Part Per Print			0.00	X	X	
Jessee Equipment Manufacturing	9428020	1	1	PMN3516FMHF	Plate Magnet	4/30/25	1	9428020-1-1	5/20/25	5/26/25	5/28/25	60	Tig Weld - Part Per Print	70	Deburr -Part 2	5/21/25		2228.70	X	X	
Davis-Standard Corp.	9428114	4	1	9428114-1	FF4600-PLS  D/S#  5381443	5/2/25	2	9428114-4-1	5/22/25	5/27/25	5/28/25	30	Water-jet Cut Part Per Print	20	Laser Cut - Part Per Print	5/20/25		2043.40	X	X	
Mars Wrigley Confectionery US, LLC	9428177	1	1	918628-1	REPLACEMENT CARTRIDGE 12"	5/5/25	2	9428177-1-1	5/20/25	5/26/25	5/28/25	10	Mag Cut - Cut Tube To Length	20	Laser Weld - Part Per Print	5/16/25		1754.00	X	X	
Services For Plastics, Inc.	9428508	1	1	9341447-3-SF	FF6-SF-NE-H-D	5/14/25	1	9428508-1-1	5/23/25	5/27/25	5/28/25	30	Turn -Casting Per Print (25)	40	FF Production Work Cell	5/21/25	5/21/25	993.60			
